lat,long,r-score,property_id
40.80849,-73.9446,3,4170796
40.72696,-73.98553,6,19717723
40.717713528936,-73.9904355423043,2,2102492
40.69021,-73.92207,1,12950997
40.70686,-73.91078,6,18471203
40.8233280974134,-73.9533229944448,1,23771144
40.75126,-73.97163,0,19713169
40.69233,-73.90579,15,4192400
40.78488,-73.9763,2,25493355
40.71586,-73.95395,-1,16961126
40.76835,-73.01219,2,25508442
40.6878991001466,-73.9172203308307,0,18482476
41.09918,-73.97483,4,23826935
41.1084,-73.79224,3,4197348
40.74142,-73.8202,5,989976
40.83174,-73.94686,13,6795657
40.7612185176762,-73.990038944812,3,7760552
40.8483,-73.94048,3,18493211
40.68306,-73.93141,6,4957358
40.78785,-73.94952,2,2126830
40.673,-73.983,2,22294649
40.77168,-73.9222,1,9959328
40.6734508063215,-73.9267779632805,-1,13914305
40.68156,-73.92036,3,22305896
40.74507,-73.90738,4,7771170
40.64088,-73.96306,7,14826817
40.6939486970308,-73.9486299128188,12,3311412
40.69533,-73.95439,-2,15927695
40.801,-73.966,1,23890947
40.68822,-73.91639,2,22339572
40.6679393369229,-73.9617713528851,2,9977949
40.88858,-72.38281,1,9978092
40.7417052299834,-73.9058956810506,5,13952443
40.7671216408924,-73.9520441957345,3,5858893
40.7939460838859,-73.9413112254063,2,14857207
40.7601,-73.91929,1,8964446
40.68922,-73.94626,3,2151479
40.68542,-73.7926,2,7787983
40.79154,-73.94233,2,17078612
40.6343132529355,-73.9629607666977,-2,18566521
40.7478746003732,-73.9924248238863,3,5864956
40.82153,-73.95512,5,1023529
40.76132,-73.92477,3,18566623
40.69385,-73.94413,3,14885186
40.71213,-73.95789,1,22371082
40.8348,-73.94067,5,11542467
40.73537,-74.00209,5,14899111
41.5281533405291,-73.9744285453225,1,8982675
40.7757989305328,-73.9488147694894,10,4239628
40.6944,-73.95506,2,25803944
40.84346,-73.91151,3,25833266
40.72042,-73.99622,-1,32987851
40.6598730254635,-73.9522849854757,4,1040182
40.7890014128827,-73.9426752816094,0,14014299
40.70078,-73.9072,1,33038266
40.66655,-73.95005,2,30084269
40.70171,-73.91344,4,5061309
40.7465276496393,-73.9042061207763,6,5911997
40.7068,-74.00632,2,33098823
41.50373,-74.00954,2,30102587
40.7271486283879,-73.9784151346775,2,5078855
40.7115384389549,-73.9428898617148,0,5090128
40.71309,-73.99626,1,33242964
40.7570820368281,-73.9896654989528,1,4261693
